DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
67936837,0,1,1,0,0,0,0,0,0,0,31,1,1,,0,1,gmail.com,free,8717,pdf,upload
67943665,0,0,0,1,0,0,0,0,0,0,31,1,2,,0,1,me.com,free,9934,pdf,dropbox
67944463,0,0,0,0,0,0,0,0,0,0,31,1,1,,0,0,msn.cn,free,312,docx,upload
67952197,0,0,0,0,1,0,1,0,0,0,768,1,1,,0,1,hotmail.com,free,12,doc,upload
67963201,0,0,0,0,0,0,0,0,1,1,31,1,1,,0,1,qq.com,free,309344,pdf,upload
67971226,0,0,0,0,1,0,0,0,0,0,31,1,1,,0,1,mail.ru,free,106,docx,upload
67972525,0,0,0,0,0,0,0,0,0,0,31,1,1,,0,1,yahoo.com.hk,free,1043,doc,upload
67973581,0,1,1,0,0,0,0,0,0,0,729,46,1140,,1093,1,gmail.com,free,670,pdf,upload
67977802,0,1,1,0,0,0,0,0,0,0,490,5,195,,95,1,gmail.com,free,1469,docx,upload
67977940,0,1,1,0,0,0,0,0,0,0,490,5,195,,127,1,gmail.com,free,318,docx,upload
67977964,0,1,1,0,0,0,0,0,0,0,490,5,195,,133,1,gmail.com,free,680,docx,upload
67978405,0,0,0,0,1,0,0,0,0,0,30,2,100,,84,1,gmail.com,free,83,docx,upload
67981864,0,0,0,0,1,0,0,0,0,0,539,3,3,,0,1,yahoo.com,free,175,docx,upload
67994608,0,0,0,0,0,0,0,0,0,0,30,1,1,,0,1,yahoo.com,free,8415,doc,upload
67995724,0,0,0,0,0,0,0,0,0,0,30,2,1,,0,1,gmail.com,free,456,docx,upload
68025409,0,1,1,0,0,0,0,0,0,0,36,1,1,,0,1,gmail.com,free,1513,pdf,upload
68027668,0,1,1,0,0,0,0,0,0,0,29,2,2,,0,1,gmail.com,free,7085,ppt,upload
68032567,0,0,0,0,1,0,0,0,0,0,29,1,1,,0,1,gmail.com,free,59,pdf,upload
68037670,0,0,0,0,1,0,0,0,0,0,34,2,4,,2,1,hotmail.com,free,10,docx,upload
68053408,0,1,1,0,0,0,0,0,0,0,29,1,1,,0,1,gmail.com,free,838,pdf,dropbox
68054938,0,0,0,0,0,0,0,0,0,0,29,1,1,,0,1,gmail.com,free,494,pdf,upload
68060950,0,0,0,0,1,0,1,0,0,0,29,1,2,,1,1,hotmail.com,free,0,docx,upload
68067946,0,0,0,1,0,0,0,0,0,0,29,1,1,,0,1,gmail.com,free,477,pdf,upload
68076028,0,0,0,0,1,0,0,0,0,0,28,1,3,,2,1,berkeley.edu,free,190,pdf,google_drive
68076136,0,1,1,0,0,0,0,0,0,0,28,1,1,,0,1,fakeinbox.com,free,21010,pdf,upload
68076661,0,0,0,0,0,0,0,0,0,0,484,31,335,,283,1,gmail.com,free,1083,pdf,upload
68087098,0,0,0,0,0,0,0,0,0,0,28,1,1,,0,1,gmail.com,free,2396,pdf,upload
68121364,0,0,0,0,1,0,1,0,0,0,28,1,1,,0,1,gmail.com,free,0,docx,upload
68123818,0,1,1,0,0,0,0,0,0,0,179,4,1,,0,1,gmail.com,free,273,docx,upload
68127085,0,1,1,0,0,0,0,0,0,0,28,1,2,,0,1,gmail.com,free,2180,pdf,google_drive
68130610,0,0,0,0,1,0,1,0,0,0,28,1,1,,0,1,gmail.com,free,12,docx,upload
68131123,0,0,0,0,0,0,0,0,0,0,28,1,11,,1,1,gmail.com,free,0,pdf,upload
68131705,0,0,0,0,1,0,0,0,0,0,28,1,1,,0,1,yahoo.com,free,53,docx,upload
68132098,0,0,0,1,0,0,1,0,0,0,1223,1209,111,,98,1,gmail.com,monthly,818,docx,upload
68138422,0,0,0,0,1,0,0,0,0,0,27,1,1,,0,1,hotmail.com,free,218,docx,upload
68144368,0,1,1,0,0,0,0,0,0,0,154,2,1,,0,1,yahoo.com,free,4396,docx,upload
68148625,0,0,0,1,0,0,0,0,0,0,27,2,2,,0,1,gmail.com,free,7732,docx,upload
68154814,0,0,0,0,0,0,0,0,0,0,27,1,1,,0,1,gmail.com,free,664,docx,upload
